example_id,category,modified_token_count,modified_sentence_count,modified_average_sentence_length,modified_flesch_reading_ease,modified_gunning_fog_index,modified_yules_k,modified_noun_count,modified_verb_count,modified_adjective_count
209,Sexual_orientation,95,7,13.571429,67.540385,9.072527,160.230732,26,10,12
1127,Age,76,5,15.2,63.988602,8.649462,136.054422,23,9,5
327,Disability_status,105,7,15.0,73.465,7.809524,130.419032,26,15,10
1099,Physical_appearance,134,7,19.142857,66.898317,11.661966,159.436943,31,24,10
1983,Race_x_SES,107,6,17.833333,52.785,10.031746,123.17353,44,13,4
959,Physical_appearance,125,6,20.833333,74.467382,8.696226,172.940868,31,19,13
5423,SES,110,8,13.75,81.267727,8.036364,145.679012,32,19,3
2569,SES,104,7,14.857143,74.624743,6.602941,170.362358,33,14,5
1443,Disability_status,111,8,13.875,65.655559,8.539474,145.399306,35,15,12
2519,Race_ethnicity,90,7,12.857143,68.29,5.977778,92.444444,37,9,5
