example_id,category,modified_token_count,modified_sentence_count,modified_average_sentence_length,modified_flesch_reading_ease,modified_gunning_fog_index,modified_yules_k,modified_noun_count,modified_verb_count,modified_adjective_count
1719,Age,185,8,23.125,68.714222,10.183704,111.408032,46,26,19
725,Religion,135,8,16.875,69.265445,8.272881,136.995975,39,15,13
225,Physical_appearance,160,7,22.857143,62.731046,9.867974,109.755448,41,18,14
1105,Race_x_gender,133,8,16.625,76.836962,6.250718,119.470699,45,15,7
5243,Gender_identity,135,6,22.5,73.794474,8.619549,104.042806,40,18,7
327,Physical_appearance,170,9,18.888889,48.84031,14.130704,130.321046,43,25,14
10961,Race_x_gender,125,6,20.833333,72.015005,6.907875,131.286982,45,15,4
5707,SES,146,9,16.222222,72.69,9.133333,138.403655,40,22,6
4907,Race_ethnicity,142,6,23.666667,59.241685,8.700911,74.030009,49,21,9
83,Sexual_orientation,137,7,19.571429,69.770019,8.259004,86.200599,37,15,19
3787,Gender_identity,134,7,19.142857,74.956532,7.773894,138.504155,44,16,6
2413,Age,188,11,17.090909,78.243611,6.881481,115.924574,46,27,14
2685,Nationality,140,9,15.555556,75.651808,8.098803,147.945993,39,18,15
1397,Physical_appearance,160,6,26.666667,62.776786,11.0,174.035511,44,21,16
871,Race_ethnicity,135,8,16.875,70.78886,9.277193,127.824019,40,20,9
1339,Gender_identity,123,5,24.6,81.382308,6.353846,99.773243,39,14,12
865,Religion,139,6,23.166667,64.932308,8.960684,149.382361,40,16,14
1085,Nationality,155,8,19.375,73.879432,8.570314,120.523416,52,20,8
547,Physical_appearance,158,8,19.75,71.916667,8.666667,125.432526,39,21,15
